Name,MIME Type / Internet Media Type,File Extension,More Details,More Details_link0
Metadata Encoding and Transmission Standard,application/mets+xml,.mets,RFC 6207,http://tools.ietf.org/html/rfc6207
Metadata Object Description Schema,application/mods+xml,.mods,RFC 6207,http://tools.ietf.org/html/rfc6207
MPEG-21,application/mp21,.m21,Wikipedia: MPEG-21,https://en.wikipedia.org/wiki/MPEG-21
MPEG4,application/mp4,.mp4,RFC 4337,http://www.rfc-editor.org/rfc/rfc4337.txt
Microsoft Word,application/msword,.doc,Wikipedia: Microsoft Word,https://en.wikipedia.org/wiki/Microsoft_Word
Material Exchange Format,application/mxf,.mxf,RFC 4539,http://www.ietf.org/rfc/rfc4539.txt
Binary Data,application/octet-stream,.bin,,https://www.freeformatter.com/mime-types-list.html
Office Document Architecture,application/oda,.oda,RFC 2161,http://tools.ietf.org/html/rfc2161
Open eBook Publication Structure,application/oebps-package+xml,.opf,Wikipedia: Open eBook,https://en.wikipedia.org/wiki/Open_eBook
Ogg,application/ogg,.ogx,Wikipedia: Ogg,https://en.wikipedia.org/wiki/Ogg
Microsoft OneNote,application/onenote,.onetoc,MS OneNote 2010,http://office.microsoft.com/en-ca/onenote/
XML Patch Framework,application/patch-ops-error+xml,.xer,RFC 5261,http://www.rfc-editor.org/rfc/rfc5261.txt
Adobe Portable Document Format,application/pdf,.pdf,Adobe PDF,http://www.adobe.com/products/acrobat/adobepdf.html
Pretty Good Privacy,application/pgp-encrypted,.pgp,RFC 2015,https://en.wikipedia.org/wiki/Pretty_Good_Privacy
Pretty Good Privacy - Signature,application/pgp-signature,.pgp,RFC 2015,http://www.ietf.org/rfc/rfc2015.txt
PICSRules,application/pics-rules,.prf,W3C PICSRules,http://www.w3.org/TR/REC-PICSRules/
PKCS #10 - Certification Request Standard,application/pkcs10,.p10,RFC 2986,http://tools.ietf.org/html/rfc2986
PKCS #7 - Cryptographic Message Syntax Standard,application/pkcs7-mime,.p7m,RFC 2315,http://tools.ietf.org/html/rfc2315
PKCS #7 - Cryptographic Message Syntax Standard,application/pkcs7-signature,.p7s,RFC 2315,http://tools.ietf.org/html/rfc2315
PKCS #8 - Private-Key Information Syntax Standard,application/pkcs8,.p8,RFC 5208,http://tools.ietf.org/html/rfc5208
Attribute Certificate,application/pkix-attr-cert,.ac,RFC 5877,http://tools.ietf.org/html/rfc5877
Internet Public Key Infrastructure - Certificate,application/pkix-cert,.cer,RFC 2585,http://www.ietf.org/rfc/rfc2585.txt
Internet Public Key Infrastructure - Certificate Revocation Lists,application/pkix-crl,.crl,RFC 2585,http://www.ietf.org/rfc/rfc2585.txt
Internet Public Key Infrastructure - Certification Path,application/pkix-pkipath,.pkipath,RFC 2585,http://www.ietf.org/rfc/rfc2585.txt
Internet Public Key Infrastructure - Certificate Management Protocole,application/pkixcmp,.pki,RFC 2585,http://www.ietf.org/rfc/rfc2585.txt
Pronunciation Lexicon Specification,application/pls+xml,.pls,RFC 4267,http://www.rfc-editor.org/rfc/rfc4267.txt
